,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
0,18477,5,15,0.9375,0.0
1,14808,8,14,1.0,0.0
2,20467,8,8,1.0,0.0
3,17900,7,15,1.0,0.0
4,9231,2,7,0.7777777777777778,0.0
5,11721,8,10,0.9090909090909091,0.0
6,7600,11,11,1.0,0.0
7,16114,7,14,1.0,0.0
8,12773,7,13,1.0,0.0
9,7002,7,7,0.9285714285714286,0.0
10,11301,5,15,1.0,0.0
11,15864,5,13,1.0,0.0
12,17893,10,11,1.0,0.0
13,8835,3,11,0.9444444444444444,0.0
14,14646,4,17,1.0,0.0
15,13051,5,13,1.0,0.0
16,17467,7,13,1.0,0.0
17,7934,6,12,0.8571428571428571,0.0
18,12512,5,12,1.0,0.0
19,6794,4,16,1.0,0.0
20,12966,6,6,0.9090909090909091,0.0
21,11726,6,13,1.0,0.0
22,14129,3,11,0.9285714285714286,0.0
23,7460,10,10,1.0,0.0
24,9934,5,15,1.0,0.0
25,14201,2,14,1.0,0.0
26,11281,3,14,1.0,0.0
27,11981,6,11,1.0,0.0
28,16463,5,7,1.0,0.0
29,15363,5,14,1.0,0.0
30,9381,4,13,1.0,0.0
31,14516,5,14,1.0,0.0
32,14558,7,6,1.0,0.0
33,15766,4,13,0.9285714285714286,0.0
34,7401,6,9,1.0,0.0
35,16705,8,8,1.0,0.0
36,12071,2,14,1.0,0.0
37,10058,4,11,1.0,0.0
38,7688,5,8,1.0,0.0
39,16949,3,15,1.0,0.0
40,12756,4,13,1.0,0.0
41,8862,8,11,1.0,0.0
42,16212,7,6,1.0,0.0
43,14475,5,12,1.0,0.0
44,13538,5,10,0.9090909090909091,0.0
45,10427,3,15,1.0,0.0
46,15484,4,14,1.0,0.0
47,12131,6,12,1.0,0.0
48,14332,2,10,1.0,0.0
49,12268,3,11,1.0,0.0
50,12779,7,6,1.0,0.0
51,10215,5,10,1.0,0.0
52,14025,4,7,1.0,0.0
53,12755,2,14,1.0,0.0
54,12464,2,12,0.8571428571428571,0.0
55,9159,6,11,1.0,0.0
56,12077,6,10,1.0,0.0
57,10134,9,9,1.0,0.0
58,16987,10,7,0.875,0.0
59,10889,6,11,1.0,0.0
60,8222,4,12,1.0,0.0
61,12952,3,11,1.0,0.0
62,13351,4,7,1.0,0.0
63,11013,8,10,1.0,0.0
64,10161,3,15,1.0,0.0
65,12115,5,8,1.0,0.0
66,9973,1,12,0.9333333333333333,0.0
67,8947,6,11,1.0,0.0
68,10287,3,14,0.9333333333333333,0.0
69,13798,4,10,1.0,0.0
70,14762,5,9,1.0,0.0
71,12706,3,9,0.9230769230769231,0.0
72,10344,3,14,1.0,0.0
73,12133,2,6,0.9230769230769231,0.0
74,14829,4,10,0.9230769230769231,0.0
75,13771,4,9,0.8181818181818182,0.0
76,15693,4,6,0.9090909090909091,0.0
77,9321,5,11,1.0,0.0
78,8246,5,8,1.0,0.0
79,16082,3,13,1.0,0.0
80,15473,2,8,0.8333333333333334,0.0
81,12235,5,8,0.9166666666666666,0.0
82,11261,4,13,1.0,0.0
83,9530,3,11,1.0,0.0
84,7280,4,13,1.0,0.0
85,14116,5,9,1.0,0.0
86,9143,5,12,1.0,0.0
87,13331,5,11,1.0,0.0
88,15242,3,14,1.0,0.0
89,13104,3,7,0.9230769230769231,0.0
90,10903,2,13,1.0,0.0
91,18015,2,8,0.9230769230769231,0.0
92,7407,3,8,1.0,0.0
93,14619,3,13,0.9285714285714286,0.0
94,16287,3,11,0.9285714285714286,0.0
95,9410,5,5,0.9166666666666666,0.0
96,12520,6,11,1.0,0.0
97,13122,3,13,0.9285714285714286,0.0
98,9390,7,7,1.0,0.0
99,9051,4,11,1.0,0.0
100,8689,7,8,0.8888888888888888,0.0
101,10484,2,7,0.9285714285714286,0.0
102,10927,5,11,1.0,0.0
103,7687,6,10,1.0,0.0
104,7340,4,7,1.0,0.0
105,12288,4,8,0.8,0.0
106,8931,6,8,1.0,0.0
107,11072,3,7,1.0,0.0
108,13465,4,10,1.0,0.0
109,15799,3,11,0.9166666666666666,0.0
110,15678,3,11,0.9166666666666666,0.0
111,15105,3,13,1.0,0.0
112,13375,5,11,1.0,0.0
113,10521,2,12,0.9230769230769231,0.0
114,11380,3,12,1.0,0.0
115,14063,2,10,1.0,0.0
116,8054,4,5,1.0,0.0
117,9124,4,12,1.0,0.0
118,12605,3,13,1.0,0.0
119,12119,5,6,0.9090909090909091,0.0
120,8799,3,11,1.0,0.0
121,15627,3,11,1.0,0.0
122,17682,4,11,0.9166666666666666,0.0
123,9397,4,12,1.0,0.0
124,12673,4,12,1.0,0.0
125,13415,4,10,1.0,0.0
126,12736,2,12,1.0,0.0
127,15833,4,9,1.0,0.0
128,14426,3,11,0.9166666666666666,0.0
129,12309,1,10,1.0,0.0
130,16830,2,11,1.0,0.0
131,12900,4,12,1.0,0.0
132,10945,6,10,1.0,0.0
133,11478,6,9,1.0,0.0
134,11275,3,12,1.0,0.0
135,14276,3,12,1.0,0.0
136,15508,3,8,1.0,0.0
137,8838,3,13,1.0,0.0
138,9643,4,12,1.0,0.0
139,10290,2,13,1.0,0.0
140,9913,4,12,1.0,0.0
141,11885,2,14,1.0,0.0
142,12694,7,8,0.8888888888888888,0.0
143,9938,3,11,0.9166666666666666,0.0
144,14036,4,12,1.0,0.0
145,13955,5,11,1.0,0.0
146,13591,2,10,1.0,0.0
147,15557,3,11,0.9166666666666666,0.0
148,10609,4,11,0.9166666666666666,0.0
149,16812,7,9,1.0,0.0
150,9533,4,9,1.0,0.0
151,13764,2,14,1.0,0.0
152,11216,5,9,1.0,0.0
153,10550,6,8,0.8888888888888888,0.0
154,11149,3,11,1.0,0.0
155,8236,2,14,1.0,0.0
156,10946,3,8,1.0,0.0
157,11466,6,7,1.0,0.0
